#{"t_start": 1700577337.572345, "env_id": "None"}
r,l,t
433.775789,209,447.895047
1147.102992,392,448.853725
1486.205232,495,449.998469
2046.535881,580,451.31194
607.66637,192,451.950757
766.093385,385,452.939513
1235.778046,391,453.908172
1318.24288,375,454.853345
846.661217,343,455.723995
1473.513317,401,457.571761
1036.096456,273,458.299926
934.806012,652,459.726417
975.917023,343,460.573499
867.539184,250,461.245031
693.210541,287,462.006236
1843.735809,594,463.341657
949.340063,367,464.243178
221.511367,243,464.90171
837.778604,374,465.812603
685.067077,279,466.562035
218.454373,71,467.71406
3263.38425,1001,469.861181
861.50878,377,470.819512
782.611429,262,471.530736
3352.256996,976,473.685503
779.018969,334,474.54825
1023.896896,500,475.747814
56.052215,43,476.06972
802.66114,190,476.661661
1307.654779,600,478.894095
409.68688,196,479.498972
2172.108583,623,480.930142
1661.13979,644,482.381633
3111.858153,1001,484.469523
1783.187625,527,485.68799
3033.664103,969,488.543987
1267.494539,417,489.567364
496.798994,207,490.166404
260.202902,117,490.616644
2492.511063,642,492.061701
2704.919675,1001,494.1982
2249.759929,1001,496.560719
1000.597603,354,497.463635
2630.007562,803,500.058644
2523.236605,996,502.397768
655.091023,196,503.010941
2083.776368,699,504.576959
1221.949884,461,505.726999
2594.237229,925,507.689311
2814.915458,922,510.521988
2213.490071,786,512.230038
3380.966365,1001,514.438945
520.878347,171,515.026571
98.836729,42,515.342135
1576.523242,559,516.631171
71.742265,27,516.907653
1213.711439,329,517.767407
753.406953,366,518.674603
979.149181,340,520.443797
1922.227557,707,522.019817
39.874458,104,522.44557
462.341055,185,523.032472
427.253457,263,523.778838
461.314426,164,524.302617
1557.352838,570,525.605265
1271.742406,335,526.470082
1135.06104,318,527.2903
2094.513293,661,528.737477
1168.479327,351,529.602782
2023.952914,635,531.963113
781.701649,315,532.7871
792.315811,201,533.391272
2236.726842,701,534.943589
1008.053724,336,535.791842
775.978519,302,536.562694
1212.660543,431,537.587653
891.057423,364,538.474685
1582.50812,592,539.793652
959.181685,364,540.69873
1859.177807,559,542.872378
1746.78953,497,544.017363
2183.860085,973,546.019878
1176.453276,534,547.22808
1084.800297,349,548.08847
1579.15062,634,549.471434
731.119743,212,550.075308
406.79711,229,550.710606
1444.331193,539,552.724607
2116.81589,665,554.170534
185.506064,175,554.715366
1601.735692,590,556.038516
2771.726787,893,557.90989
3200.326442,1001,560.017818
1402.390498,467,561.107931
153.851707,44,562.187507
559.638905,230,562.822018
473.775792,195,563.392832
2749.328414,770,565.040589
131.871853,87,565.412438
1261.490929,387,566.350836
1336.987968,391,567.290304
723.947333,342,568.147953
1459.45337,389,569.087584
947.241437,464,570.157639
507.889162,176,570.705403
1021.959287,269,571.416852
939.906106,296,572.183102
1631.569962,593,574.288292
1075.1591,328,575.114065
1539.875761,572,576.388602
1543.520265,567,577.65384
1357.568631,441,578.685318
878.444768,335,579.558092
2162.551211,771,581.274061
920.742832,271,581.999778
2132.086394,578,584.248622
405.275772,138,584.772401
1226.310473,458,585.865289
592.519151,281,586.642683
645.161064,295,587.426448
1206.941671,452,588.484902
1103.926078,510,589.645841
1088.410178,335,590.502216
894.622742,383,591.42895
1815.012673,507,592.602814
1931.496327,807,595.095897
854.357066,227,595.739424
70.163434,87,596.118608
212.018478,69,596.471595
1806.219571,617,597.855794
1750.000965,516,599.065812
3110.458047,746,600.737663
533.636707,178,601.315359
982.465856,404,602.416713
807.796649,192,603.058216
336.164473,157,603.571966
2347.985464,717,606.108807
886.385266,320,606.936531
1011.55677,365,607.86749
114.41357,29,608.145728
1288.236175,435,609.186605
451.049685,131,609.648461
454.013029,227,610.297112
2708.676356,871,612.146683
425.357108,147,612.637135
470.704573,176,613.177015
1395.908062,456,614.246183
1079.623585,489,615.389965
1642.339735,699,617.684652
587.176145,255,618.369856
2011.417895,668,619.827476
446.695444,202,620.436745
143.610113,74,620.792285
2089.086418,682,622.302439
225.754561,68,622.649628
1427.602183,372,623.566982
466.685764,156,624.074909
1203.308067,316,624.898198
422.937558,185,625.487326
477.141409,123,625.936915
206.056128,126,626.395068
2431.308307,741,628.76537
2193.72937,661,630.237363
3339.051747,1000,632.333742
770.572824,297,633.112381
820.394176,332,633.953324
418.681143,146,634.444817
197.13078,212,635.064706
1295.944782,477,636.179059
1396.351091,368,637.084053
866.827151,355,638.745761
1199.41816,347,639.601434
1301.997637,487,640.723128
2256.824396,675,642.223864
163.659199,65,642.56487
2119.044757,540,643.780517
2550.730063,647,645.20311
788.936694,257,646.011688
2984.628269,913,648.038468
485.536216,291,649.596819
2698.670383,770,651.282429
1180.72949,332,652.128099
1331.803287,343,653.000698
216.717011,89,653.398829
1205.026307,314,654.218366
671.915899,232,654.883613
1718.318293,487,656.138041
169.906774,132,656.628734
342.629226,99,657.033843
2204.210854,583,658.338987
1158.379789,294,659.100673
346.338143,149,659.601329
1371.178549,520,661.57012
456.437159,123,662.019235
2387.429132,662,663.480998
2065.101688,524,664.682509
1721.296337,597,666.042624
639.873712,386,666.985178
178.253951,129,667.473714
2529.519544,726,669.16665
1367.201161,436,670.198669
1427.057495,401,671.986895
529.461851,133,672.456986
2873.390874,788,674.177097
516.269157,217,674.804515
1724.086462,540,676.038056
1764.496879,491,677.351914
885.29044,419,678.376699
1836.167862,626,679.765076
1311.560162,409,680.747434
546.352124,135,681.2353
895.698149,273,682.737464
1731.928334,484,683.88378
222.103085,103,684.291102
1842.950496,433,685.323973
1232.454522,344,686.184982
1210.842025,315,687.021454
1540.075944,383,688.017508
929.473258,312,688.849227
515.307583,152,689.359883
2108.542957,678,690.859174
433.515678,152,691.35873
905.463235,316,692.172579
625.526703,154,692.673765
1274.970343,318,694.265107
125.555452,31,694.536188
258.52236,87,694.916127
1575.865584,407,695.899912
1150.288829,377,696.823711
2590.921308,675,698.30596
429.496746,117,698.737405
324.941207,97,699.132414
3094.709465,1001,701.211508
2140.677937,689,702.700414
105.548678,48,703.003451
1366.779719,369,704.697162
1098.559295,268,705.413742
309.379017,82,705.789725
926.882858,295,706.567282
2179.932858,636,707.98853
